"Date","Followers","Difference in followers from previous day"
"2021-06-16","2489","0"
"2021-06-17","2486","-3"
"2021-06-18","2487","1"
"2021-06-19","2487","0"
"2021-06-20","2487","0"
"2021-06-21","2488","1"
"2021-06-22","2488","0"
"2021-06-23","2492","4"
"2021-06-24","2492","0"
"2021-06-25","2491","-1"
"2021-06-26","2491","0"
"2021-06-27","2491","0"
"2021-06-28","2486","-5"
"2021-06-29","2486","0"
"2021-06-30","2486","0"
"2021-07-01","2483","-3"
"2021-07-02","2484","1"
"2021-07-03","2485","1"
"2021-07-04","2485","0"
"2021-07-05","2485","0"
"2021-07-06","2484","-1"
"2021-07-07","2484","0"
"2021-07-08","2484","0"
"2021-07-09","2484","0"
"2021-07-10","2484","0"
"2021-07-11","2484","0"
"2021-07-12","2484","0"
"2021-07-13","2484","0"
"2021-07-14","2482","-2"
"2021-07-15","2482","0"
"2021-07-16","2484","2"
"2021-07-17","2484","0"
"2021-07-18","2485","1"
"2021-07-19","2485","0"
"2021-07-20","2600","115"
"2021-07-21","2639","39"
"2021-07-22","2640","1"
"2021-07-23","2643","3"
"2021-07-24","2643","0"
"2021-07-25","2643","0"
"2021-07-26","2643","0"
"2021-07-27","2641","-2"
"2021-07-28","2641","0"
"2021-07-29","2641","0"
"2021-07-30","2641","0"
"2021-07-31","2641","0"
"2021-08-01","2641","0"
"2021-08-02","2643","2"
"2021-08-03","2643","0"
"2021-08-04","2643","0"
"2021-08-05","2643","0"
"2021-08-06","2643","0"
"2021-08-07","2643","0"
"2021-08-08","3049","406"
"2021-08-09","3049","0"
"2021-08-10","3049","0"
"2021-08-11","3051","2"
"2021-08-12","3057","6"
"2021-08-13","3057","0"
"2021-08-14","3057","0"
