"Date","Video views","Profile views","Likes","Comments","Shares"
"2021-06-16","122","7","1","0","0"
"2021-06-17","88","10","2","0","0"
"2021-06-18","106","4","0","0","0"
"2021-06-19","98","3","3","0","0"
"2021-06-20","116","4","5","0","0"
"2021-06-21","124","5","2","0","0"
"2021-06-22","197","3","6","0","3"
"2021-06-23","593","11","10","7","0"
"2021-06-24","200","5","4","0","4"
"2021-06-25","180","6","3","0","0"
"2021-06-26","125","5","2","0","1"
"2021-06-27","139","4","2","0","0"
"2021-06-28","138","0","5","1","0"
"2021-06-29","5055","32","78","13","16"
"2021-06-30","870","9","14","2","1"
"2021-07-01","252","6","4","0","2"
"2021-07-02","167","3","4","0","0"
"2021-07-03","128","6","3","0","0"
"2021-07-04","143","5","0","0","0"
"2021-07-05","104","0","2","1","0"
"2021-07-06","899","8","13","1","0"
"2021-07-07","481","1","6","1","0"
"2021-07-08","164","3","2","0","0"
"2021-07-09","225","10","85","2","0"
"2021-07-10","165","5","2","0","0"
"2021-07-11","423","8","1","0","0"
"2021-07-12","1174","8","15","1","1"
"2021-07-13","853","8","15","0","0"
"2021-07-14","320","6","2","0","4"
"2021-07-15","382","4","6","0","0"
"2021-07-16","740","6","8","0","0"
"2021-07-17","1077","10","10","1","0"
"2021-07-18","424","8","7","0","0"
"2021-07-19","2797","83","128","4","1"
"2021-07-20","59477","1214","2416","30","115"
"2021-07-21","13839","278","686","3","42"
"2021-07-22","2917","56","146","3","7"
"2021-07-23","1433","28","67","1","5"
"2021-07-24","387","11","4","0","0"
"2021-07-25","308","7","2","0","1"
"2021-07-26","255","6","3","0","0"
"2021-07-27","171","5","0","0","0"
"2021-07-28","237","9","1","0","1"
"2021-07-29","3812","59","146","1","5"
"2021-07-30","569","6","18","0","2"
"2021-07-31","417","9","19","0","1"
"2021-08-01","338","9","9","1","0"
"2021-08-02","699","18","25","0","0"
"2021-08-03","1197","22","67","1","5"
"2021-08-04","1485","16","49","1","4"
"2021-08-05","1245","15","35","0","0"
"2021-08-06","410","10","18","0","0"
"2021-08-07","511","9","19","1","0"
"2021-08-08","450","7","10","0","1"
"2021-08-09","203","7","6","0","0"
"2021-08-10","377","10","23","0","1"
"2021-08-11","3308","34","131","0","2"
"2021-08-12","2339","27","89","0","1"
"2021-08-13","580","16","29","0","1"
"2021-08-14","2122","12","47","1","3"
